STEPS	|   PROCESS			|  A	|  B  |
19355	|  EMPTYING B 			|  35566	|  0  |
19356	|  POURING A TO B 		|  32567	|  2999  |
19357	|  EMPTYING B 			|  32567	|  0  |
19358	|  POURING A TO B 		|  29568	|  2999  |
19359	|  EMPTYING B 			|  29568	|  0  |
19360	|  POURING A TO B 		|  26569	|  2999  |
19361	|  EMPTYING B 			|  26569	|  0  |
19362	|  POURING A TO B 		|  23570	|  2999  |
19363	|  EMPTYING B 			|  23570	|  0  |
19364	|  POURING A TO B 		|  20571	|  2999  |
19365	|  EMPTYING B 			|  20571	|  0  |
19366	|  POURING A TO B 		|  17572	|  2999  |
19367	|  EMPTYING B 			|  17572	|  0  |
19368	|  POURING A TO B 		|  14573	|  2999  |
19369	|  EMPTYING B 			|  14573	|  0  |
19370	|  POURING A TO B 		|  11574	|  2999  |
19371	|  EMPTYING B 			|  11574	|  0  |
19372	|  POURING A TO B 		|  8575	|  2999  |
19373	|  EMPTYING B 			|  8575	|  0  |
19374	|  POURING A TO B 		|  5576	|  2999  |
19375	|  EMPTYING B 			|  5576	|  0  |
19376	|  POURING A TO B 		|  2577	|  2999  |
19377	|  EMPTYING B 			|  2577	|  0  |
19378	|  POURING A TO B 		|  0	|  2577  |
19379	|  FILLING A FULLY		|  39989	|  2577  |
19380	|  POURING A TO B 		|  39567	|  2999  |
19381	|  EMPTYING B 			|  39567	|  0  |
19382	|  POURING A TO B 		|  36568	|  2999  |
19383	|  EMPTYING B 			|  36568	|  0  |
19384	|  POURING A TO B 		|  33569	|  2999  |
19385	|  EMPTYING B 			|  33569	|  0  |
19386	|  POURING A TO B 		|  30570	|  2999  |
19387	|  EMPTYING B 			|  30570	|  0  |
19388	|  POURING A TO B 		|  27571	|  2999  |
19389	|  EMPTYING B 			|  27571	|  0  |
19390	|  POURING A TO B 		|  24572	|  2999  |
19391	|  EMPTYING B 			|  24572	|  0  |
19392	|  POURING A TO B 		|  21573	|  2999  |
19393	|  EMPTYING B 			|  21573	|  0  |
19394	|  POURING A TO B 		|  18574	|  2999  |
19395	|  EMPTYING B 			|  18574	|  0  |
19396	|  POURING A TO B 		|  15575	|  2999  |
19397	|  EMPTYING B 			|  15575	|  0  |
19398	|  POURING A TO B 		|  12576	|  2999  |
19399	|  EMPTYING B 			|  12576	|  0  |
19400	|  POURING A TO B 		|  9577	|  2999  |
19401	|  EMPTYING B 			|  9577	|  0  |
19402	|  POURING A TO B 		|  6578	|  2999  |
19403	|  EMPTYING B 			|  6578	|  0  |
19404	|  POURING A TO B 		|  3579	|  2999  |
19405	|  EMPTYING B 			|  3579	|  0  |
19406	|  POURING A TO B 		|  580	|  2999  |
19407	|  EMPTYING B 			|  580	|  0  |
19408	|  POURING A TO B 		|  0	|  580  |
19409	|  FILLING A FULLY		|  39989	|  580  |
19410	|  POURING A TO B 		|  37570	|  2999  |
19411	|  EMPTYING B 			|  37570	|  0  |
19412	|  POURING A TO B 		|  34571	|  2999  |
19413	|  EMPTYING B 			|  34571	|  0  |
19414	|  POURING A TO B 		|  31572	|  2999  |
19415	|  EMPTYING B 			|  31572	|  0  |
19416	|  POURING A TO B 		|  28573	|  2999  |
19417	|  EMPTYING B 			|  28573	|  0  |
19418	|  POURING A TO B 		|  25574	|  2999  |
19419	|  EMPTYING B 			|  25574	|  0  |
19420	|  POURING A TO B 		|  22575	|  2999  |
19421	|  EMPTYING B 			|  22575	|  0  |
19422	|  POURING A TO B 		|  19576	|  2999  |
19423	|  EMPTYING B 			|  19576	|  0  |
19424	|  POURING A TO B 		|  16577	|  2999  |
19425	|  EMPTYING B 			|  16577	|  0  |
19426	|  POURING A TO B 		|  13578	|  2999  |
19427	|  EMPTYING B 			|  13578	|  0  |
19428	|  POURING A TO B 		|  10579	|  2999  |
19429	|  EMPTYING B 			|  10579	|  0  |
19430	|  POURING A TO B 		|  7580	|  2999  |
19431	|  EMPTYING B 			|  7580	|  0  |
19432	|  POURING A TO B 		|  4581	|  2999  |
19433	|  EMPTYING B 			|  4581	|  0  |
19434	|  POURING A TO B 		|  1582	|  2999  |
19435	|  EMPTYING B 			|  1582	|  0  |
19436	|  POURING A TO B 		|  0	|  1582  |
19437	|  FILLING A FULLY		|  39989	|  1582  |
19438	|  POURING A TO B 		|  38572	|  2999  |
19439	|  EMPTYING B 			|  38572	|  0  |
19440	|  POURING A TO B 		|  35573	|  2999  |
19441	|  EMPTYING B 			|  35573	|  0  |
19442	|  POURING A TO B 		|  32574	|  2999  |
19443	|  EMPTYING B 			|  32574	|  0  |
19444	|  POURING A TO B 		|  29575	|  2999  |
19445	|  EMPTYING B 			|  29575	|  0  |
19446	|  POURING A TO B 		|  26576	|  2999  |
19447	|  EMPTYING B 			|  26576	|  0  |
19448	|  POURING A TO B 		|  23577	|  2999  |
19449	|  EMPTYING B 			|  23577	|  0  |
19450	|  POURING A TO B 		|  20578	|  2999  |
19451	|  EMPTYING B 			|  20578	|  0  |
19452	|  POURING A TO B 		|  17579	|  2999  |
19453	|  EMPTYING B 			|  17579	|  0  |
19454	|  POURING A TO B 		|  14580	|  2999  |
19455	|  EMPTYING B 			|  14580	|  0  |
19456	|  POURING A TO B 		|  11581	|  2999  |
19457	|  EMPTYING B 			|  11581	|  0  |
19458	|  POURING A TO B 		|  8582	|  2999  |
19459	|  EMPTYING B 			|  8582	|  0  |
19460	|  POURING A TO B 		|  5583	|  2999  |
19461	|  EMPTYING B 			|  5583	|  0  |
19462	|  POURING A TO B 		|  2584	|  2999  |
19463	|  EMPTYING B 			|  2584	|  0  |
19464	|  POURING A TO B 		|  0	|  2584  |
19465	|  FILLING A FULLY		|  39989	|  2584  |
19466	|  POURING A TO B 		|  39574	|  2999  |
19467	|  EMPTYING B 			|  39574	|  0  |
19468	|  POURING A TO B 		|  36575	|  2999  |
19469	|  EMPTYING B 			|  36575	|  0  |
19470	|  POURING A TO B 		|  33576	|  2999  |
19471	|  EMPTYING B 			|  33576	|  0  |
19472	|  POURING A TO B 		|  30577	|  2999  |
19473	|  EMPTYING B 			|  30577	|  0  |
19474	|  POURING A TO B 		|  27578	|  2999  |
19475	|  EMPTYING B 			|  27578	|  0  |
19476	|  POURING A TO B 		|  24579	|  2999  |
19477	|  EMPTYING B 			|  24579	|  0  |
19478	|  POURING A TO B 		|  21580	|  2999  |
19479	|  EMPTYING B 			|  21580	|  0  |
19480	|  POURING A TO B 		|  18581	|  2999  |
19481	|  EMPTYING B 			|  18581	|  0  |
19482	|  POURING A TO B 		|  15582	|  2999  |
19483	|  EMPTYING B 			|  15582	|  0  |
19484	|  POURING A TO B 		|  12583	|  2999  |
19485	|  EMPTYING B 			|  12583	|  0  |
19486	|  POURING A TO B 		|  9584	|  2999  |
19487	|  EMPTYING B 			|  9584	|  0  |
19488	|  POURING A TO B 		|  6585	|  2999  |
19489	|  EMPTYING B 			|  6585	|  0  |
19490	|  POURING A TO B 		|  3586	|  2999  |
19491	|  EMPTYING B 			|  3586	|  0  |
19492	|  POURING A TO B 		|  587	|  2999  |
19493	|  EMPTYING B 			|  587	|  0  |
19494	|  POURING A TO B 		|  0	|  587  |
19495	|  FILLING A FULLY		|  39989	|  587  |
19496	|  POURING A TO B 		|  37577	|  2999  |
19497	|  EMPTYING B 			|  37577	|  0  |
19498	|  POURING A TO B 		|  34578	|  2999  |
19499	|  EMPTYING B 			|  34578	|  0  |
19500	|  POURING A TO B 		|  31579	|  2999  |
19501	|  EMPTYING B 			|  31579	|  0  |
19502	|  POURING A TO B 		|  28580	|  2999  |
19503	|  EMPTYING B 			|  28580	|  0  |
19504	|  POURING A TO B 		|  25581	|  2999  |
19505	|  EMPTYING B 			|  25581	|  0  |
19506	|  POURING A TO B 		|  22582	|  2999  |
19507	|  EMPTYING B 			|  22582	|  0  |
19508	|  POURING A TO B 		|  19583	|  2999  |
19509	|  EMPTYING B 			|  19583	|  0  |
19510	|  POURING A TO B 		|  16584	|  2999  |
19511	|  EMPTYING B 			|  16584	|  0  |
19512	|  POURING A TO B 		|  13585	|  2999  |
19513	|  EMPTYING B 			|  13585	|  0  |
19514	|  POURING A TO B 		|  10586	|  2999  |
19515	|  EMPTYING B 			|  10586	|  0  |
19516	|  POURING A TO B 		|  7587	|  2999  |
19517	|  EMPTYING B 			|  7587	|  0  |
19518	|  POURING A TO B 		|  4588	|  2999  |
19519	|  EMPTYING B 			|  4588	|  0  |
19520	|  POURING A TO B 		|  1589	|  2999  |
19521	|  EMPTYING B 			|  1589	|  0  |
19522	|  POURING A TO B 		|  0	|  1589  |
19523	|  FILLING A FULLY		|  39989	|  1589  |
19524	|  POURING A TO B 		|  38579	|  2999  |
19525	|  EMPTYING B 			|  38579	|  0  |
19526	|  POURING A TO B 		|  35580	|  2999  |
19527	|  EMPTYING B 			|  35580	|  0  |
19528	|  POURING A TO B 		|  32581	|  2999  |
19529	|  EMPTYING B 			|  32581	|  0  |
19530	|  POURING A TO B 		|  29582	|  2999  |
19531	|  EMPTYING B 			|  29582	|  0  |
19532	|  POURING A TO B 		|  26583	|  2999  |
19533	|  EMPTYING B 			|  26583	|  0  |
19534	|  POURING A TO B 		|  23584	|  2999  |
19535	|  EMPTYING B 			|  23584	|  0  |
19536	|  POURING A TO B 		|  20585	|  2999  |
19537	|  EMPTYING B 			|  20585	|  0  |
19538	|  POURING A TO B 		|  17586	|  2999  |
19539	|  EMPTYING B 			|  17586	|  0  |
19540	|  POURING A TO B 		|  14587	|  2999  |
19541	|  EMPTYING B 			|  14587	|  0  |
19542	|  POURING A TO B 		|  11588	|  2999  |
19543	|  EMPTYING B 			|  11588	|  0  |
19544	|  POURING A TO B 		|  8589	|  2999  |
19545	|  EMPTYING B 			|  8589	|  0  |
19546	|  POURING A TO B 		|  5590	|  2999  |
19547	|  EMPTYING B 			|  5590	|  0  |
19548	|  POURING A TO B 		|  2591	|  2999  |
19549	|  EMPTYING B 			|  2591	|  0  |
19550	|  POURING A TO B 		|  0	|  2591  |
19551	|  FILLING A FULLY		|  39989	|  2591  |
19552	|  POURING A TO B 		|  39581	|  2999  |
19553	|  EMPTYING B 			|  39581	|  0  |
19554	|  POURING A TO B 		|  36582	|  2999  |
19555	|  EMPTYING B 			|  36582	|  0  |
19556	|  POURING A TO B 		|  33583	|  2999  |
19557	|  EMPTYING B 			|  33583	|  0  |
19558	|  POURING A TO B 		|  30584	|  2999  |
19559	|  EMPTYING B 			|  30584	|  0  |
19560	|  POURING A TO B 		|  27585	|  2999  |
19561	|  EMPTYING B 			|  27585	|  0  |
19562	|  POURING A TO B 		|  24586	|  2999  |
19563	|  EMPTYING B 			|  24586	|  0  |
19564	|  POURING A TO B 		|  21587	|  2999  |
19565	|  EMPTYING B 			|  21587	|  0  |
19566	|  POURING A TO B 		|  18588	|  2999  |
19567	|  EMPTYING B 			|  18588	|  0  |
19568	|  POURING A TO B 		|  15589	|  2999  |
19569	|  EMPTYING B 			|  15589	|  0  |
19570	|  POURING A TO B 		|  12590	|  2999  |
19571	|  EMPTYING B 			|  12590	|  0  |
19572	|  POURING A TO B 		|  9591	|  2999  |
19573	|  EMPTYING B 			|  9591	|  0  |
19574	|  POURING A TO B 		|  6592	|  2999  |
19575	|  EMPTYING B 			|  6592	|  0  |
19576	|  POURING A TO B 		|  3593	|  2999  |
19577	|  EMPTYING B 			|  3593	|  0  |
19578	|  POURING A TO B 		|  594	|  2999  |
19579	|  EMPTYING B 			|  594	|  0  |
19580	|  POURING A TO B 		|  0	|  594  |
19581	|  FILLING A FULLY		|  39989	|  594  |
19582	|  POURING A TO B 		|  37584	|  2999  |
19583	|  EMPTYING B 			|  37584	|  0  |
19584	|  POURING A TO B 		|  34585	|  2999  |
19585	|  EMPTYING B 			|  34585	|  0  |
19586	|  POURING A TO B 		|  31586	|  2999  |
19587	|  EMPTYING B 			|  31586	|  0  |
19588	|  POURING A TO B 		|  28587	|  2999  |
19589	|  EMPTYING B 			|  28587	|  0  |
19590	|  POURING A TO B 		|  25588	|  2999  |
19591	|  EMPTYING B 			|  25588	|  0  |
19592	|  POURING A TO B 		|  22589	|  2999  |
19593	|  EMPTYING B 			|  22589	|  0  |
19594	|  POURING A TO B 		|  19590	|  2999  |
19595	|  EMPTYING B 			|  19590	|  0  |
19596	|  POURING A TO B 		|  16591	|  2999  |
19597	|  EMPTYING B 			|  16591	|  0  |
19598	|  POURING A TO B 		|  13592	|  2999  |
19599	|  EMPTYING B 			|  13592	|  0  |
19600	|  POURING A TO B 		|  10593	|  2999  |
19601	|  EMPTYING B 			|  10593	|  0  |
19602	|  POURING A TO B 		|  7594	|  2999  |
19603	|  EMPTYING B 			|  7594	|  0  |
19604	|  POURING A TO B 		|  4595	|  2999  |
19605	|  EMPTYING B 			|  4595	|  0  |
19606	|  POURING A TO B 		|  1596	|  2999  |
19607	|  EMPTYING B 			|  1596	|  0  |
19608	|  POURING A TO B 		|  0	|  1596  |
19609	|  FILLING A FULLY		|  39989	|  1596  |
19610	|  POURING A TO B 		|  38586	|  2999  |
19611	|  EMPTYING B 			|  38586	|  0  |
19612	|  POURING A TO B 		|  35587	|  2999  |
19613	|  EMPTYING B 			|  35587	|  0  |
19614	|  POURING A TO B 		|  32588	|  2999  |
19615	|  EMPTYING B 			|  32588	|  0  |
19616	|  POURING A TO B 		|  29589	|  2999  |
19617	|  EMPTYING B 			|  29589	|  0  |
19618	|  POURING A TO B 		|  26590	|  2999  |
19619	|  EMPTYING B 			|  26590	|  0  |
19620	|  POURING A TO B 		|  23591	|  2999  |
19621	|  EMPTYING B 			|  23591	|  0  |
19622	|  POURING A TO B 		|  20592	|  2999  |
19623	|  EMPTYING B 			|  20592	|  0  |
19624	|  POURING A TO B 		|  17593	|  2999  |
19625	|  EMPTYING B 			|  17593	|  0  |
19626	|  POURING A TO B 		|  14594	|  2999  |
19627	|  EMPTYING B 			|  14594	|  0  |
19628	|  POURING A TO B 		|  11595	|  2999  |
19629	|  EMPTYING B 			|  11595	|  0  |
19630	|  POURING A TO B 		|  8596	|  2999  |
19631	|  EMPTYING B 			|  8596	|  0  |
19632	|  POURING A TO B 		|  5597	|  2999  |
19633	|  EMPTYING B 			|  5597	|  0  |
19634	|  POURING A TO B 		|  2598	|  2999  |
19635	|  EMPTYING B 			|  2598	|  0  |
19636	|  POURING A TO B 		|  0	|  2598  |
19637	|  FILLING A FULLY		|  39989	|  2598  |
19638	|  POURING A TO B 		|  39588	|  2999  |
19639	|  EMPTYING B 			|  39588	|  0  |
19640	|  POURING A TO B 		|  36589	|  2999  |
19641	|  EMPTYING B 			|  36589	|  0  |
19642	|  POURING A TO B 		|  33590	|  2999  |
19643	|  EMPTYING B 			|  33590	|  0  |
19644	|  POURING A TO B 		|  30591	|  2999  |
19645	|  EMPTYING B 			|  30591	|  0  |
19646	|  POURING A TO B 		|  27592	|  2999  |
19647	|  EMPTYING B 			|  27592	|  0  |
19648	|  POURING A TO B 		|  24593	|  2999  |
19649	|  EMPTYING B 			|  24593	|  0  |
19650	|  POURING A TO B 		|  21594	|  2999  |
19651	|  EMPTYING B 			|  21594	|  0  |
19652	|  POURING A TO B 		|  18595	|  2999  |
19653	|  EMPTYING B 			|  18595	|  0  |
19654	|  POURING A TO B 		|  15596	|  2999  |
19655	|  EMPTYING B 			|  15596	|  0  |
19656	|  POURING A TO B 		|  12597	|  2999  |
19657	|  EMPTYING B 			|  12597	|  0  |
19658	|  POURING A TO B 		|  9598	|  2999  |
19659	|  EMPTYING B 			|  9598	|  0  |
19660	|  POURING A TO B 		|  6599	|  2999  |
19661	|  EMPTYING B 			|  6599	|  0  |
19662	|  POURING A TO B 		|  3600	|  2999  |
19663	|  EMPTYING B 			|  3600	|  0  |
19664	|  POURING A TO B 		|  601	|  2999  |
19665	|  EMPTYING B 			|  601	|  0  |
19666	|  POURING A TO B 		|  0	|  601  |
19667	|  FILLING A FULLY		|  39989	|  601  |
19668	|  POURING A TO B 		|  37591	|  2999  |
19669	|  EMPTYING B 			|  37591	|  0  |
19670	|  POURING A TO B 		|  34592	|  2999  |
19671	|  EMPTYING B 			|  34592	|  0  |
19672	|  POURING A TO B 		|  31593	|  2999  |
19673	|  EMPTYING B 			|  31593	|  0  |
19674	|  POURING A TO B 		|  28594	|  2999  |
19675	|  EMPTYING B 			|  28594	|  0  |
19676	|  POURING A TO B 		|  25595	|  2999  |
19677	|  EMPTYING B 			|  25595	|  0  |
19678	|  POURING A TO B 		|  22596	|  2999  |
19679	|  EMPTYING B 			|  22596	|  0  |
19680	|  POURING A TO B 		|  19597	|  2999  |
19681	|  EMPTYING B 			|  19597	|  0  |
19682	|  POURING A TO B 		|  16598	|  2999  |
19683	|  EMPTYING B 			|  16598	|  0  |
19684	|  POURING A TO B 		|  13599	|  2999  |
19685	|  EMPTYING B 			|  13599	|  0  |
19686	|  POURING A TO B 		|  10600	|  2999  |
19687	|  EMPTYING B 			|  10600	|  0  |
19688	|  POURING A TO B 		|  7601	|  2999  |
19689	|  EMPTYING B 			|  7601	|  0  |
19690	|  POURING A TO B 		|  4602	|  2999  |
19691	|  EMPTYING B 			|  4602	|  0  |
19692	|  POURING A TO B 		|  1603	|  2999  |
19693	|  EMPTYING B 			|  1603	|  0  |
19694	|  POURING A TO B 		|  0	|  1603  |
19695	|  FILLING A FULLY		|  39989	|  1603  |
19696	|  POURING A TO B 		|  38593	|  2999  |
19697	|  EMPTYING B 			|  38593	|  0  |
19698	|  POURING A TO B 		|  35594	|  2999  |
19699	|  EMPTYING B 			|  35594	|  0  |
19700	|  POURING A TO B 		|  32595	|  2999  |
19701	|  EMPTYING B 			|  32595	|  0  |
19702	|  POURING A TO B 		|  29596	|  2999  |
19703	|  EMPTYING B 			|  29596	|  0  |
19704	|  POURING A TO B 		|  26597	|  2999  |
19705	|  EMPTYING B 			|  26597	|  0  |
19706	|  POURING A TO B 		|  23598	|  2999  |
19707	|  EMPTYING B 			|  23598	|  0  |
19708	|  POURING A TO B 		|  20599	|  2999  |
19709	|  EMPTYING B 			|  20599	|  0  |
19710	|  POURING A TO B 		|  17600	|  2999  |
19711	|  EMPTYING B 			|  17600	|  0  |
19712	|  POURING A TO B 		|  14601	|  2999  |
19713	|  EMPTYING B 			|  14601	|  0  |
19714	|  POURING A TO B 		|  11602	|  2999  |
19715	|  EMPTYING B 			|  11602	|  0  |
19716	|  POURING A TO B 		|  8603	|  2999  |
19717	|  EMPTYING B 			|  8603	|  0  |
19718	|  POURING A TO B 		|  5604	|  2999  |
19719	|  EMPTYING B 			|  5604	|  0  |
19720	|  POURING A TO B 		|  2605	|  2999  |
19721	|  EMPTYING B 			|  2605	|  0  |
19722	|  POURING A TO B 		|  0	|  2605  |
19723	|  FILLING A FULLY		|  39989	|  2605  |
19724	|  POURING A TO B 		|  39595	|  2999  |
19725	|  EMPTYING B 			|  39595	|  0  |
19726	|  POURING A TO B 		|  36596	|  2999  |
19727	|  EMPTYING B 			|  36596	|  0  |
19728	|  POURING A TO B 		|  33597	|  2999  |
19729	|  EMPTYING B 			|  33597	|  0  |
19730	|  POURING A TO B 		|  30598	|  2999  |
19731	|  EMPTYING B 			|  30598	|  0  |
19732	|  POURING A TO B 		|  27599	|  2999  |
19733	|  EMPTYING B 			|  27599	|  0  |
19734	|  POURING A TO B 		|  24600	|  2999  |
19735	|  EMPTYING B 			|  24600	|  0  |
19736	|  POURING A TO B 		|  21601	|  2999  |
19737	|  EMPTYING B 			|  21601	|  0  |
19738	|  POURING A TO B 		|  18602	|  2999  |
19739	|  EMPTYING B 			|  18602	|  0  |
19740	|  POURING A TO B 		|  15603	|  2999  |
19741	|  EMPTYING B 			|  15603	|  0  |
19742	|  POURING A TO B 		|  12604	|  2999  |
19743	|  EMPTYING B 			|  12604	|  0  |
19744	|  POURING A TO B 		|  9605	|  2999  |
19745	|  EMPTYING B 			|  9605	|  0  |
19746	|  POURING A TO B 		|  6606	|  2999  |
19747	|  EMPTYING B 			|  6606	|  0  |
19748	|  POURING A TO B 		|  3607	|  2999  |
19749	|  EMPTYING B 			|  3607	|  0  |
19750	|  POURING A TO B 		|  608	|  2999  |
19751	|  EMPTYING B 			|  608	|  0  |
19752	|  POURING A TO B 		|  0	|  608  |
19753	|  FILLING A FULLY		|  39989	|  608  |
19754	|  POURING A TO B 		|  37598	|  2999  |
19755	|  EMPTYING B 			|  37598	|  0  |
19756	|  POURING A TO B 		|  34599	|  2999  |
19757	|  EMPTYING B 			|  34599	|  0  |
19758	|  POURING A TO B 		|  31600	|  2999  |
19759	|  EMPTYING B 			|  31600	|  0  |
19760	|  POURING A TO B 		|  28601	|  2999  |
19761	|  EMPTYING B 			|  28601	|  0  |
19762	|  POURING A TO B 		|  25602	|  2999  |
19763	|  EMPTYING B 			|  25602	|  0  |
19764	|  POURING A TO B 		|  22603	|  2999  |
19765	|  EMPTYING B 			|  22603	|  0  |
19766	|  POURING A TO B 		|  19604	|  2999  |
19767	|  EMPTYING B 			|  19604	|  0  |
19768	|  POURING A TO B 		|  16605	|  2999  |
19769	|  EMPTYING B 			|  16605	|  0  |
19770	|  POURING A TO B 		|  13606	|  2999  |
19771	|  EMPTYING B 			|  13606	|  0  |
19772	|  POURING A TO B 		|  10607	|  2999  |
19773	|  EMPTYING B 			|  10607	|  0  |
19774	|  POURING A TO B 		|  7608	|  2999  |
19775	|  EMPTYING B 			|  7608	|  0  |
19776	|  POURING A TO B 		|  4609	|  2999  |
19777	|  EMPTYING B 			|  4609	|  0  |
19778	|  POURING A TO B 		|  1610	|  2999  |
19779	|  EMPTYING B 			|  1610	|  0  |
19780	|  POURING A TO B 		|  0	|  1610  |
19781	|  FILLING A FULLY		|  39989	|  1610  |
19782	|  POURING A TO B 		|  38600	|  2999  |
19783	|  EMPTYING B 			|  38600	|  0  |
19784	|  POURING A TO B 		|  35601	|  2999  |
19785	|  EMPTYING B 			|  35601	|  0  |
19786	|  POURING A TO B 		|  32602	|  2999  |
19787	|  EMPTYING B 			|  32602	|  0  |
19788	|  POURING A TO B 		|  29603	|  2999  |
19789	|  EMPTYING B 			|  29603	|  0  |
19790	|  POURING A TO B 		|  26604	|  2999  |
19791	|  EMPTYING B 			|  26604	|  0  |
19792	|  POURING A TO B 		|  23605	|  2999  |
19793	|  EMPTYING B 			|  23605	|  0  |
19794	|  POURING A TO B 		|  20606	|  2999  |
19795	|  EMPTYING B 			|  20606	|  0  |
19796	|  POURING A TO B 		|  17607	|  2999  |
19797	|  EMPTYING B 			|  17607	|  0  |
19798	|  POURING A TO B 		|  14608	|  2999  |
19799	|  EMPTYING B 			|  14608	|  0  |
19800	|  POURING A TO B 		|  11609	|  2999  |
19801	|  EMPTYING B 			|  11609	|  0  |
19802	|  POURING A TO B 		|  8610	|  2999  |
19803	|  EMPTYING B 			|  8610	|  0  |
19804	|  POURING A TO B 		|  5611	|  2999  |
19805	|  EMPTYING B 			|  5611	|  0  |
19806	|  POURING A TO B 		|  2612	|  2999  |
19807	|  EMPTYING B 			|  2612	|  0  |
19808	|  POURING A TO B 		|  0	|  2612  |
19809	|  FILLING A FULLY		|  39989	|  2612  |
19810	|  POURING A TO B 		|  39602	|  2999  |
19811	|  EMPTYING B 			|  39602	|  0  |
19812	|  POURING A TO B 		|  36603	|  2999  |
19813	|  EMPTYING B 			|  36603	|  0  |
19814	|  POURING A TO B 		|  33604	|  2999  |
19815	|  EMPTYING B 			|  33604	|  0  |
19816	|  POURING A TO B 		|  30605	|  2999  |
19817	|  EMPTYING B 			|  30605	|  0  |
19818	|  POURING A TO B 		|  27606	|  2999  |
19819	|  EMPTYING B 			|  27606	|  0  |
19820	|  POURING A TO B 		|  24607	|  2999  |
19821	|  EMPTYING B 			|  24607	|  0  |
19822	|  POURING A TO B 		|  21608	|  2999  |
19823	|  EMPTYING B 			|  21608	|  0  |
19824	|  POURING A TO B 		|  18609	|  2999  |
19825	|  EMPTYING B 			|  18609	|  0  |
19826	|  POURING A TO B 		|  15610	|  2999  |
19827	|  EMPTYING B 			|  15610	|  0  |
19828	|  POURING A TO B 		|  12611	|  2999  |
19829	|  EMPTYING B 			|  12611	|  0  |
19830	|  POURING A TO B 		|  9612	|  2999  |
19831	|  EMPTYING B 			|  9612	|  0  |
19832	|  POURING A TO B 		|  6613	|  2999  |
19833	|  EMPTYING B 			|  6613	|  0  |
19834	|  POURING A TO B 		|  3614	|  2999  |
19835	|  EMPTYING B 			|  3614	|  0  |
19836	|  POURING A TO B 		|  615	|  2999  |
19837	|  EMPTYING B 			|  615	|  0  |
19838	|  POURING A TO B 		|  0	|  615  |
19839	|  FILLING A FULLY		|  39989	|  615  |
19840	|  POURING A TO B 		|  37605	|  2999  |
19841	|  EMPTYING B 			|  37605	|  0  |
19842	|  POURING A TO B 		|  34606	|  2999  |
19843	|  EMPTYING B 			|  34606	|  0  |
19844	|  POURING A TO B 		|  31607	|  2999  |
19845	|  EMPTYING B 			|  31607	|  0  |
19846	|  POURING A TO B 		|  28608	|  2999  |
19847	|  EMPTYING B 			|  28608	|  0  |
19848	|  POURING A TO B 		|  25609	|  2999  |
19849	|  EMPTYING B 			|  25609	|  0  |
19850	|  POURING A TO B 		|  22610	|  2999  |
19851	|  EMPTYING B 			|  22610	|  0  |
19852	|  POURING A TO B 		|  19611	|  2999  |
19853	|  EMPTYING B 			|  19611	|  0  |
19854	|  POURING A TO B 		|  16612	|  2999  |
19855	|  EMPTYING B 			|  16612	|  0  |
19856	|  POURING A TO B 		|  13613	|  2999  |
19857	|  EMPTYING B 			|  13613	|  0  |
19858	|  POURING A TO B 		|  10614	|  2999  |
19859	|  EMPTYING B 			|  10614	|  0  |
19860	|  POURING A TO B 		|  7615	|  2999  |
19861	|  EMPTYING B 			|  7615	|  0  |
19862	|  POURING A TO B 		|  4616	|  2999  |
19863	|  EMPTYING B 			|  4616	|  0  |
19864	|  POURING A TO B 		|  1617	|  2999  |
19865	|  EMPTYING B 			|  1617	|  0  |
19866	|  POURING A TO B 		|  0	|  1617  |
19867	|  FILLING A FULLY		|  39989	|  1617  |
19868	|  POURING A TO B 		|  38607	|  2999  |
19869	|  EMPTYING B 			|  38607	|  0  |
19870	|  POURING A TO B 		|  35608	|  2999  |
19871	|  EMPTYING B 			|  35608	|  0  |
19872	|  POURING A TO B 		|  32609	|  2999  |
19873	|  EMPTYING B 			|  32609	|  0  |
19874	|  POURING A TO B 		|  29610	|  2999  |
19875	|  EMPTYING B 			|  29610	|  0  |
19876	|  POURING A TO B 		|  26611	|  2999  |
19877	|  EMPTYING B 			|  26611	|  0  |
19878	|  POURING A TO B 		|  23612	|  2999  |
19879	|  EMPTYING B 			|  23612	|  0  |
19880	|  POURING A TO B 		|  20613	|  2999  |
19881	|  EMPTYING B 			|  20613	|  0  |
19882	|  POURING A TO B 		|  17614	|  2999  |
19883	|  EMPTYING B 			|  17614	|  0  |
19884	|  POURING A TO B 		|  14615	|  2999  |
19885	|  EMPTYING B 			|  14615	|  0  |
19886	|  POURING A TO B 		|  11616	|  2999  |
19887	|  EMPTYING B 			|  11616	|  0  |
19888	|  POURING A TO B 		|  8617	|  2999  |
19889	|  EMPTYING B 			|  8617	|  0  |
19890	|  POURING A TO B 		|  5618	|  2999  |
19891	|  EMPTYING B 			|  5618	|  0  |
19892	|  POURING A TO B 		|  2619	|  2999  |
19893	|  EMPTYING B 			|  2619	|  0  |
19894	|  POURING A TO B 		|  0	|  2619  |
19895	|  FILLING A FULLY		|  39989	|  2619  |
19896	|  POURING A TO B 		|  39609	|  2999  |
19897	|  EMPTYING B 			|  39609	|  0  |
19898	|  POURING A TO B 		|  36610	|  2999  |
19899	|  EMPTYING B 			|  36610	|  0  |
19900	|  POURING A TO B 		|  33611	|  2999  |
19901	|  EMPTYING B 			|  33611	|  0  |
19902	|  POURING A TO B 		|  30612	|  2999  |
