STEPS	|   PROCESS			|  A	|  B  |
267	|  EMPTYING B 			|  28014	|  0  |
268	|  POURING A TO B 		|  25015	|  2999  |
269	|  EMPTYING B 			|  25015	|  0  |
270	|  POURING A TO B 		|  22016	|  2999  |
271	|  EMPTYING B 			|  22016	|  0  |
272	|  POURING A TO B 		|  19017	|  2999  |
273	|  EMPTYING B 			|  19017	|  0  |
274	|  POURING A TO B 		|  16018	|  2999  |
275	|  EMPTYING B 			|  16018	|  0  |
276	|  POURING A TO B 		|  13019	|  2999  |
277	|  EMPTYING B 			|  13019	|  0  |
278	|  POURING A TO B 		|  10020	|  2999  |
279	|  EMPTYING B 			|  10020	|  0  |
280	|  POURING A TO B 		|  7021	|  2999  |
281	|  EMPTYING B 			|  7021	|  0  |
282	|  POURING A TO B 		|  4022	|  2999  |
283	|  EMPTYING B 			|  4022	|  0  |
284	|  POURING A TO B 		|  1023	|  2999  |
285	|  EMPTYING B 			|  1023	|  0  |
286	|  POURING A TO B 		|  0	|  1023  |
287	|  FILLING A FULLY		|  39989	|  1023  |
288	|  POURING A TO B 		|  38013	|  2999  |
289	|  EMPTYING B 			|  38013	|  0  |
290	|  POURING A TO B 		|  35014	|  2999  |
291	|  EMPTYING B 			|  35014	|  0  |
292	|  POURING A TO B 		|  32015	|  2999  |
293	|  EMPTYING B 			|  32015	|  0  |
294	|  POURING A TO B 		|  29016	|  2999  |
295	|  EMPTYING B 			|  29016	|  0  |
296	|  POURING A TO B 		|  26017	|  2999  |
297	|  EMPTYING B 			|  26017	|  0  |
298	|  POURING A TO B 		|  23018	|  2999  |
299	|  EMPTYING B 			|  23018	|  0  |
300	|  POURING A TO B 		|  20019	|  2999  |
301	|  EMPTYING B 			|  20019	|  0  |
302	|  POURING A TO B 		|  17020	|  2999  |
303	|  EMPTYING B 			|  17020	|  0  |
304	|  POURING A TO B 		|  14021	|  2999  |
305	|  EMPTYING B 			|  14021	|  0  |
306	|  POURING A TO B 		|  11022	|  2999  |
307	|  EMPTYING B 			|  11022	|  0  |
308	|  POURING A TO B 		|  8023	|  2999  |
309	|  EMPTYING B 			|  8023	|  0  |
310	|  POURING A TO B 		|  5024	|  2999  |
311	|  EMPTYING B 			|  5024	|  0  |
312	|  POURING A TO B 		|  2025	|  2999  |
313	|  EMPTYING B 			|  2025	|  0  |
314	|  POURING A TO B 		|  0	|  2025  |
315	|  FILLING A FULLY		|  39989	|  2025  |
316	|  POURING A TO B 		|  39015	|  2999  |
317	|  EMPTYING B 			|  39015	|  0  |
318	|  POURING A TO B 		|  36016	|  2999  |
319	|  EMPTYING B 			|  36016	|  0  |
320	|  POURING A TO B 		|  33017	|  2999  |
321	|  EMPTYING B 			|  33017	|  0  |
322	|  POURING A TO B 		|  30018	|  2999  |
323	|  EMPTYING B 			|  30018	|  0  |
324	|  POURING A TO B 		|  27019	|  2999  |
325	|  EMPTYING B 			|  27019	|  0  |
